Transaction_ID,User_ID,Timestamp,Transaction_Amount,Merchant_Category,Location
TXN02391,USER4845,2026-01-02 15:51:00,213.3489016016696,restaurant,Los Angeles
TXN02347,USER4717,2026-01-02 15:07:00,457.76911608622265,restaurant,Phoenix
TXN02468,USER1273,2026-01-02 17:08:00,68.87803678045475,restaurant,Phoenix
TXN01059,USER2823,2026-01-01 17:39:00,260.8499290341446,groceries,Phoenix
TXN06238,USER3025,2026-01-05 07:58:00,302.8382066658244,clothing,Houston
FRAUD00233,USER2889,2026-01-10 17:00:00,2868.929529239126,electronics,Moscow
TXN04713,USER1556,2026-01-04 06:33:00,387.8566636037028,clothing,Los Angeles
TXN05037,USER3078,2026-01-04 11:57:00,147.30603942537982,groceries,Chicago
TXN07324,USER4627,2026-01-06 02:04:00,129.7815830257644,clothing,Chicago
TXN01857,USER1454,2026-01-02 06:57:00,39.734703785834334,groceries,Chicago
TXN09839,USER2420,2026-01-07 19:59:00,299.7578690013344,groceries,Houston
TXN04412,USER3606,2026-01-04 01:32:00,56.28658864253257,restaurant,Phoenix
TXN01252,USER3133,2026-01-01 20:52:00,90.49252023340476,electronics,Phoenix
TXN02928,USER3676,2026-01-03 00:48:00,355.48100926063574,restaurant,Los Angeles
TXN07524,USER2485,2026-01-06 05:24:00,375.7454240936114,clothing,Houston
TXN01438,USER2863,2026-01-01 23:58:00,14.16283351753266,groceries,Chicago
TXN00807,USER1395,2026-01-01 13:27:00,95.64464406284932,groceries,Chicago
TXN04111,USER1847,2026-01-03 20:31:00,207.2796047866797,electronics,New York
TXN05274,USER4675,2026-01-04 15:54:00,447.6857121328739,groceries,Chicago
TXN03585,USER1521,2026-01-03 11:45:00,464.6713086323932,groceries,Los Angeles
TXN02354,USER3006,2026-01-02 15:14:00,173.73008096809247,groceries,Chicago
TXN06114,USER2187,2026-01-05 05:54:00,225.67066120358905,clothing,Houston
TXN00875,USER3923,2026-01-01 14:35:00,16.50778969470424,restaurant,Los Angeles
